1,株式会社ワールドインテック　【ファクトリー事業部】,<寮費も引越し費用も無料！>しかも家具家電付き！カンタン軽作業,≪お仕事内容≫ ￥r ￥nインスタントカメラ用フイルムの検査を行なうお仕事です。 ￥r ￥n ￥r ￥n大手企業でのお仕事だから ￥r ￥n安定して働けますよ♪ ￥r ￥n ￥r ￥n駅からも近いので ￥r ￥n通勤にも便利です♪ ￥r ￥n ￥r ￥n※実際のお仕事は ￥r ￥n＜神奈川県南足柄市＞ ￥r ￥nでの勤務となります。 ￥r ￥n ￥r ￥n≪POINT≫ ￥r ￥n◎未経験からでも安心してスタート☆ ￥r ￥n空調完備で快適に働ける！ ￥r ￥n ￥r ￥n◎車・バイク通勤OK！ ￥r ￥n→電車やバスの混雑を回避できて通勤ラクラク♪ ￥r ￥n ￥r ￥n◎交通費支給あり！ ￥r ￥n→通勤費の負担が減ります♪ ￥r ￥n ￥r ￥n【身一つでお越しください】 ￥r ￥n遠方からのご応募の方は必見! ￥r ￥n備品付のワンルーム寮を完備してお待ちしています♪ ￥r ￥n寮費は『無料』です！！ ￥r ￥nしかも『家具家電付のワンルーム』！,07:00～19:10
2,株式会社SANN(本社）,≪髪型・ネイル自由≫おしゃれも自由♪未経験でもMAX時給2、000円,未経験でも稼げちゃう…？！ ￥r ￥n ￥r ￥n志望動機は「時給が高いから…」 ￥r ￥nそんな本音でOKです！ ￥r ￥n今いるスタッフもそうでした！ ￥r ￥n ￥r ￥nでもでも… ￥r ￥n意外と夢をもっていたり、 ￥r ￥nとにかく旅行にいきたい人がいたり、 ￥r ￥nまずは貯金したいって人がいたり。 ￥r ￥n ￥r ￥n学生さんからフリーターさんまで、 ￥r ￥n幅広い年代のスタッフさんが活躍中♪ ￥r ￥n ￥r ￥n＜仕事内容＞ ￥r ￥nパチンコ・スロット店での接客業務 ￥r ￥n・ホールでのお客さまのご案内 ￥r ￥n・カウンターでの景品交換　など ￥r ￥n ￥r ￥n◆はじめの3日間は時給2000円 ￥r ￥n3日間だけで、4万円以上稼げる！ ￥r ￥n ￥r ￥n◆シフト自由 ￥r ￥n週1、3時間からOK ￥r ￥n自分の都合に合わせて稼げます！ ￥r ￥n ￥r ￥n◆髪色・ネイル自由 ￥r ￥nオシャレしながら働けます♪※店舗による,"※週1日/1日3時間～OK
※週4日以上勤務できる方歓迎

＜こんな働き方ができます＞
学校/仕事おわりにそのままバイト
18:00～21:00/週3日

プライベートと上手に両立！
19:00～22:00/週2日

終電ギリギリまで働いて稼ぐ
17:00～23:00/週4日

テスト休み、旅行休暇などのご相談もお気軽に。

-----------------------------------------------------
空いた時間に働くも、
ガッツリ稼ぐのも、
プライベートに合わせて自由自在★

□月に●●万稼ぎたい！
□週3日だけど、1日ガッツリ働きたい
□1週目は週1、次の週は週4
□希望通りのシフトで働きたい など
シフトに対して希望がある方にオススメ。

Wワークしているスタッフも多いので
1人1人のライフスタイルに合わせた
働き方ができるようサポートします！

様々なシフトに合わせられるので安心♪"
3,株式会社エルスタット,立川ルミネの洋菓子店で品出しのお仕事★日給12000円＋交通費！,◆洋菓子を取り扱うお店で店頭に品出しをしていただきます！ ￥r ￥n　あとは、空いている時間に接客をお手伝いして頂きます。 ￥r ￥n ￥r ￥n具体的には・・・ ￥r ￥n・商品搬入・搬出 ￥r ￥n（届いた商品を倉庫へ。配送物は館の配送センターへ） ￥r ￥n・店頭に品出し ￥r ￥n（品出しをする際にお客様とお話する事もございます） ￥r ￥n・空いている時間で店頭でのサポートをお願い致します。 ￥r ￥n ￥r ￥n※運ぶのは、女性でも持てるぐらいの重さの荷物です♪,実働7.5時間　拘束8.5時間
4,テイケイワークス株式会社,[単発1日/全額日払い/履歴書不要]DMの封入・アクセサリーの梱包,＼スグにお金が欲しい人集まれ／ ￥r ￥n  ￥r ￥n◇都合に合わせて働ける◇ ￥r ￥n■お給料が直ぐ貰える ￥r ￥n■Wワークしたい ￥r ￥n■ガッツリ稼ぎたい ￥r ￥n…色々な働き方ができちゃいます！ ￥r ￥n  ￥r ￥n【今月のオススメ求人】 ￥r ￥n★携帯電話、携帯アクセサリー・医薬品のピッキング、仕分け ￥r ￥n＠1050円～1313円 ￥r ￥n8:45～17:30 ￥r ￥n橋本駅から徒歩15分 ￥r ￥n  ￥r ￥n★チケットや、郵便物の封入、仕分け★ ￥r ￥n＠時給1000円～1250円 ￥r ￥n・八王子市/羽村市 ￥r ￥n9:30～17:00/9:00～18:00など ￥r ￥n  ￥r ￥n★PCの組立・検査・梱包★ ￥r ￥n＠時給1000円～1313円 ￥r ￥n・豊田/日野 ￥r ￥n8:30～17:30/9:00～17:00など ￥r ￥n ￥r ￥n他にもお仕事多数あり！ ￥r ￥n  ￥r ￥n【WEBで登録会予約OK】 ￥r ￥nテイケイワークスなら、 ￥r ￥nWEBで面接予約を受付中です(^^),"09:00～17:00
10:00~19:00
みたいな日中勤務でも…

15:00～21:00
みたいな午後だけ勤務も…

20:00～05:00
みたいな深夜勤務も…
早朝勤務も…

ぜーんぶOKでーす！
※オシゴトにより勤務時間帯は異なります！
※上記はあくまでも例です！

-----------------------

◆短期・単発・週1日～OK！
◆履歴書不要"
5,株式会社さくら人材サービス,30代～50代活躍中★年末年始・1日のみOK!!日給1万円＋[交]全額◎,長期で働けるかた大歓迎！！ ￥r ￥n ￥r ￥n★短期もOK♪まずは登録のみも大歓迎！★ ￥r ￥n ￥r ￥nデパ地下やスーパー、駅ナカ、個人店など ￥r ￥n幅広くオシゴトをご用意しております。 ￥r ￥n勤務先は人気のスイーツ店やお惣菜屋さん、 ￥r ￥nその他、洋品店、雑貨店など多数♪ ￥r ￥nご希望を考慮して勤務地をご紹介します♪ ￥r ￥n ￥r ￥n主に、接客やレジ、袋詰めなどのお仕事をお願いします！ ￥r ￥n ￥r ￥n◆未経験の方も大歓迎！ ￥r ￥n経験豊富な事務所スタッフがしっかりフォローします☆　 ￥r ￥n勤務地は神奈川県内、東京都内に多数あるので、 ￥r ￥nあなたのご都合のいい場所をご相談ください!!,"の間で実働7～8時間程度
【シフト例】
■6:30～15:30■9:30～18:00
■10:00～18:30■11:30～20:00
など
※勤務場所により異なります。"
6,株式会社ピーアンドピー　スタッフマーケティング部,【時給1400円+交全＆週払い】好きな週3～・年齢不問_2car*,≪お買物でポイントがお得に貯まる“カード案内・受付”≫ ￥r ￥n ￥r ￥n▼「お買物でお得にポイント貯めてますか？」といった簡単なお声掛け ￥r ￥n▼お申し込みの受付手続きフォロー ￥r ￥nといった簡単なお仕事をお任せします！ ￥r ￥n ￥r ￥n＊もちろん、一緒に働く社員・スタッフさんがいるので困ったときは直ぐに相談できる環境です＊,"（実働8h）
※シフトは店舗により異なる
※残業なし"
7,株式会社エクスプレス・エージェント(本社),【まだ色々探してるの？】＼毎週が給料日×ドライバー！／,色々探して気になる仕事に応募して…。 ￥r ￥n何度も異なる面接地に行って…。 ￥r ￥n正直、面倒じゃありませんか？ ￥r ￥n ￥r ￥nドライバー業界大手の ￥r ￥n”エクスプレス・エージェント”だから ￥r ￥n ￥r ￥n＼登録1回で様々な仕事のご案内が可能！／ ￥r ￥n ￥r ￥nお持ちの免許・ご経験を確認させて頂き、 ￥r ￥nその場でご案内できるお仕事の一覧をお伝えします♪ ￥r ￥n一々仕事を探す手間も無ければ ￥r ￥n「今日はあそこの面接地…」 ￥r ￥n「明日はあっちの面接地行って…」 ￥r ￥nなんて面倒な移動も必要ありません！ ￥r ￥n ￥r ￥n1回登録して1発で仕事を決める。 ￥r ￥nスマートで楽でしょ？ ￥r ￥n ￥r ￥nガッツリ稼げる仕事や負担の少ない仕事、 ￥r ￥n日勤、夜勤、土日休みなど、 ￥r ￥n是非ご希望をお聞かせ下さい♪,"※勤務時間は登録後にご案内のお仕事により様々！

「短時間で探してるんだけど」
「何時からでもいいからガッツリ稼げる案件がいい」
全然OK！

さらに！
派遣先都合にて業務が早く終わっても
契約時間内の給与保証あり！
つまり…？
＼途中で終了しても給料が減っちゃう心配がありません☆／"
8,株式会社ヤマダ電機,バイト初めての方、大歓迎！家電・PCに興味あるだけでOK！！,＝◆ 店舗スタッフ ◆＝  ￥r ￥n ￥r ￥n●レジ会計・お客様応対・等  ￥r ￥n ￥r ￥n具体的には  ￥r ￥n家電・PC売り場でのレジ会計やでお客様に笑顔でのお声がけや商品の説明･案内等 ￥r ￥nをお願いします。  ￥r ￥n ￥r ￥n◎最初は先輩スタッフがしっかりサポートします。  ￥r ￥n　初めてでも安心スタートできます！  ￥r ￥n ￥r ￥n※目立つ染髪や過度な長髪等は就労時ご遠慮下さい。,"10：00～22：30
(平日)
10：00～22：00
(土日祝)
※週3日程度、1日3～6時間(勤務曜日と時間は面接時要相談)
※週2日勤務もOK！"
9,株式会社ヤマダ電機,【待遇バッチリ！！】リフォーム営業補助スタッフ募集！,◎リフォームコーナーでのお仕事になります◎ ￥r ￥n ￥r ￥n・アンケート取り、集計業務 ￥r ￥n・接客サポート業務（簡単な商品説明、標準工事の説明等） ￥r ￥n・見積もり依頼受付 ￥r ￥n・契約書作成フォロー　 ￥r ￥n・会計業務など ￥r ￥n ￥r ￥n主にはリフォームコーナーの営業補助的な業務となります。 ￥r ￥n ￥r ￥nお客様に笑顔でのお声がけや商品の説明･案内･ご契約など ￥r ￥nやりがいのあるお仕事です。  ￥r ￥n  ￥r ￥n 最初は先輩スタッフがしっかりサポートします。 ￥r ￥n 事前研修もあるので、初めてでも安心スタートできます！ ￥r ￥n※目立つ染髪や過度な長髪等は就労時ご遠慮下さい。,"13:00～22:00
4交替シフト制
１日実働6～7時間30分、週実働30～37時間30分"
10,株式会社ヤマダ電機,【待遇バッチリ！！】リフォーム営業補助スタッフ募集！,◎リフォームコーナーでのお仕事になります◎ ￥r ￥n ￥r ￥n・アンケート取り、集計業務 ￥r ￥n・接客サポート業務（簡単な商品説明、標準工事の説明等） ￥r ￥n・見積もり依頼受付 ￥r ￥n・契約書作成フォロー　 ￥r ￥n・会計業務など ￥r ￥n ￥r ￥n主にはリフォームコーナーの営業補助的な業務となります。 ￥r ￥n ￥r ￥nお客様に笑顔でのお声がけや商品の説明･案内･ご契約など ￥r ￥nやりがいのあるお仕事です。  ￥r ￥n  ￥r ￥n 最初は先輩スタッフがしっかりサポートします。 ￥r ￥n 事前研修もあるので、初めてでも安心スタートできます！ ￥r ￥n※目立つ染髪や過度な長髪等は就労時ご遠慮下さい。,"13:00～22:00
4交替シフト制
１日実働6～7時間30分、週実働30～37時間30分"
